date,region,client,categorie_produit,montant_vente,quantite
2024-09-08,Tanger,Client_0044,Maison,745.47,6
2024-07-06,Casablanca,Client_0007,Alimentaire,1337.0,10
2024-02-10,Casablanca,Client_0145,Mode,871.27,13
2024-06-05,Agadir,Client_0124,Maison,1038.23,2
2024-01-15,Rabat,Client_0122,Mode,541.59,10
2024-10-27,Tanger,Client_0032,Alimentaire,878.55,10
2024-03-05,Tanger,Client_0000,Alimentaire,698.7,5
2024-12-10,Agadir,Client_0005,Électronique,1005.74,4
2024-11-22,Agadir,Client_0040,Maison,123.33,2
2024-01-09,Rabat,Client_0182,Maison,765.29,7
2024-12-09,Rabat,Client_0004,Électronique,479.19,18
2024-05-08,Casablanca,Client_0186,Maison,522.97,17
2024-05-15,Tanger,Client_0079,Mode,1443.33,11
2024-03-03,Tanger,Client_0017,Mode,314.91,18
2024-05-18,Agadir,Client_0176,Alimentaire,501.31,8
2024-03-21,Casablanca,Client_0081,Mode,789.34,12
2024-06-11,Tanger,Client_0064,Maison,1301.39,1
2024-10-15,Casablanca,Client_0082,Électronique,654.17,12
2024-09-17,Casablanca,Client_0181,Alimentaire,1128.6,6
2024-08-18,Agadir,Client_0188,Électronique,1291.74,3
2024-02-10,Casablanca,Client_0135,Alimentaire,499.52,5
2024-01-28,Rabat,Client_0130,Alimentaire,619.49,14
2024-05-14,Rabat,Client_0024,Électronique,567.01,12
2024-07-19,Marrakech,Client_0068,Mode,1257.64,13
2024-11-23,Agadir,Client_0182,Mode,114.3,13
2024-09-24,Marrakech,Client_0167,Mode,497.21,17
2024-02-02,Rabat,Client_0081,Mode,1035.14,15
2024-02-17,Marrakech,Client_0177,Électronique,869.89,6
2024-03-02,Agadir,Client_0116,Maison,682.62,12
2024-08-03,Agadir,Client_0094,Alimentaire,832.92,2
2024-10-19,Casablanca,Client_0032,Électronique,336.5,4
2024-04-08,Tanger,Client_0110,Mode,674.54,12
2024-06-20,Casablanca,Client_0145,Mode,777.47,3
2024-12-25,Agadir,Client_0124,Électronique,1356.72,17
2024-08-01,Rabat,Client_0184,Alimentaire,428.21,6
2024-02-04,Rabat,Client_0015,Électronique,1308.35,17
2024-08-14,Casablanca,Client_0079,Électronique,984.15,17
2024-04-10,Agadir,Client_0037,Maison,79.49,11
2024-05-10,Rabat,Client_0168,Électronique,1100.72,7
2024-09-13,Agadir,Client_0134,Maison,101.55,2
2024-01-05,Rabat,Client_0077,Alimentaire,1496.2,19
2024-08-05,Agadir,Client_0180,Électronique,1315.32,2
2024-09-11,Marrakech,Client_0062,Électronique,481.15,13
2024-12-24,Agadir,Client_0111,Mode,423.25,16
2024-10-09,Agadir,Client_0088,Électronique,603.09,17
2024-07-25,Casablanca,Client_0159,Mode,566.44,11
2024-01-15,Marrakech,Client_0037,Mode,589.89,9
2024-12-11,Tanger,Client_0149,Mode,511.5,9
2024-02-11,Casablanca,Client_0143,Alimentaire,950.64,14
2024-06-27,Tanger,Client_0051,Maison,288.18,13
2024-03-03,Rabat,Client_0028,Mode,1276.67,11
2024-12-17,Tanger,Client_0143,Électronique,1227.98,12
2024-08-18,Agadir,Client_0075,Électronique,740.9,3
2024-08-28,Tanger,Client_0144,Mode,1286.46,1
2024-02-21,Casablanca,Client_0063,Mode,408.36,8
2024-04-05,Casablanca,Client_0090,Électronique,75.47,19
2024-08-09,Tanger,Client_0088,Mode,947.85,13
2024-08-18,Casablanca,Client_0012,Maison,713.97,7
2024-08-24,Casablanca,Client_0071,Maison,872.39,13
2024-05-22,Tanger,Client_0183,Alimentaire,1354.04,6
2024-06-19,Marrakech,Client_0004,Mode,1456.39,3
2024-01-29,Marrakech,Client_0011,Alimentaire,969.96,6
2024-02-05,Rabat,Client_0168,Alimentaire,1157.88,3
2024-01-13,Casablanca,Client_0002,Alimentaire,171.52,13
2024-06-08,Tanger,Client_0032,Mode,283.04,13
2024-11-22,Casablanca,Client_0120,Alimentaire,1113.15,13
2024-07-05,Agadir,Client_0049,Maison,675.48,1
2024-08-30,Casablanca,Client_0183,Alimentaire,696.65,8
2024-03-26,Casablanca,Client_0136,Maison,497.48,5
2024-10-10,Marrakech,Client_0177,Maison,930.67,17
2024-03-06,Tanger,Client_0028,Mode,318.49,9
2024-06-18,Casablanca,Client_0038,Alimentaire,959.03,13
2024-02-14,Marrakech,Client_0090,Mode,302.01,13
2024-03-02,Rabat,Client_0099,Maison,142.55,5
2024-05-13,Marrakech,Client_0172,Électronique,529.02,14
2024-10-10,Marrakech,Client_0016,Alimentaire,385.15,11
2024-01-28,Marrakech,Client_0055,Mode,1339.04,14
2024-04-17,Casablanca,Client_0045,Électronique,129.68,7
2024-02-13,Casablanca,Client_0066,Alimentaire,306.09,17
2024-12-05,Rabat,Client_0196,Alimentaire,845.64,4
2024-10-12,Agadir,Client_0141,Mode,747.55,10
2024-11-26,Agadir,Client_0066,Électronique,116.49,10
2024-05-07,Agadir,Client_0022,Mode,60.52,15
2024-12-13,Rabat,Client_0093,Alimentaire,1482.7,12
2024-08-18,Agadir,Client_0188,Alimentaire,1005.31,9
2024-07-08,Agadir,Client_0150,Maison,579.84,3
2024-08-12,Marrakech,Client_0154,Alimentaire,732.13,15
2024-10-09,Casablanca,Client_0053,Alimentaire,436.5,12
2024-04-30,Casablanca,Client_0137,Électronique,550.07,15
2024-04-25,Marrakech,Client_0076,Électronique,991.11,1
2024-08-20,Marrakech,Client_0015,Maison,1330.08,15
2024-09-15,Marrakech,Client_0040,Maison,316.99,11
2024-12-24,Casablanca,Client_0097,Maison,1268.52,5
2024-07-16,Agadir,Client_0182,Mode,226.26,7
2024-05-16,Marrakech,Client_0127,Mode,361.74,12
2024-11-13,Rabat,Client_0060,Maison,103.9,6
2024-06-13,Marrakech,Client_0085,Mode,254.18,3
2024-08-12,Tanger,Client_0117,Alimentaire,1380.09,10
2024-11-02,Marrakech,Client_0099,Maison,716.19,4
2024-08-21,Casablanca,Client_0048,Maison,162.62,13
2024-06-20,Marrakech,Client_0179,Mode,1441.6,19
2024-05-31,Tanger,Client_0001,Électronique,1324.54,5
2024-11-10,Rabat,Client_0119,Maison,1144.29,18
2024-06-08,Agadir,Client_0177,Mode,1403.54,1
2024-04-05,Marrakech,Client_0122,Mode,369.19,16
2024-08-20,Tanger,Client_0085,Électronique,1262.74,16
2024-06-28,Tanger,Client_0170,Maison,1050.49,16
2024-04-22,Rabat,Client_0076,Électronique,1311.15,19
2024-11-13,Casablanca,Client_0135,Alimentaire,1205.52,16
2024-02-21,Marrakech,Client_0058,Électronique,552.42,1
2024-09-24,Tanger,Client_0192,Électronique,1172.88,10
2024-10-21,Rabat,Client_0011,Mode,430.56,2
2024-04-22,Agadir,Client_0003,Électronique,526.46,14
2024-04-10,Tanger,Client_0116,Alimentaire,206.46,8
2024-04-22,Rabat,Client_0094,Mode,1405.86,6
2024-03-21,Casablanca,Client_0124,Alimentaire,471.95,3
2024-07-05,Casablanca,Client_0040,Électronique,804.9,16
2024-04-22,Tanger,Client_0122,Alimentaire,617.43,17
2024-01-02,Tanger,Client_0006,Alimentaire,1441.9,12
2024-05-09,Marrakech,Client_0068,Électronique,535.82,19
2024-08-07,Rabat,Client_0068,Électronique,1178.89,3
2024-02-23,Tanger,Client_0080,Mode,1290.35,13
2024-12-08,Marrakech,Client_0029,Mode,681.63,16
2024-08-11,Marrakech,Client_0072,Maison,598.35,11
2024-08-12,Tanger,Client_0005,Mode,1134.23,16
2024-05-05,Casablanca,Client_0088,Électronique,1373.7,2
2024-05-09,Rabat,Client_0146,Alimentaire,1144.65,4
2024-02-22,Rabat,Client_0065,Alimentaire,379.33,4
2024-06-20,Casablanca,Client_0009,Mode,1338.05,17
2024-08-05,Tanger,Client_0143,Mode,611.99,1
2024-06-08,Rabat,Client_0036,Électronique,885.53,1
2024-07-16,Tanger,Client_0076,Alimentaire,1255.58,5
2024-09-03,Tanger,Client_0076,Maison,323.17,12
2024-11-19,Marrakech,Client_0031,Maison,1187.54,6
2024-07-21,Casablanca,Client_0046,Mode,914.44,6
2024-07-02,Tanger,Client_0109,Maison,1345.35,17
2024-05-02,Agadir,Client_0199,Électronique,299.36,13
2024-09-11,Casablanca,Client_0170,Maison,659.99,8
2024-10-20,Rabat,Client_0119,Mode,1257.62,12
2024-10-06,Marrakech,Client_0163,Électronique,77.89,15
2024-11-20,Rabat,Client_0153,Alimentaire,212.69,19
2024-04-07,Rabat,Client_0009,Électronique,1486.32,17
2024-07-16,Casablanca,Client_0158,Mode,456.57,9
2024-08-27,Rabat,Client_0096,Mode,1464.54,18
2024-05-23,Tanger,Client_0156,Maison,314.67,2
2024-04-06,Rabat,Client_0004,Maison,573.59,11
2024-07-19,Marrakech,Client_0076,Alimentaire,1141.66,17
2024-05-03,Marrakech,Client_0000,Alimentaire,1003.78,18
2024-07-05,Agadir,Client_0130,Mode,892.63,15
2024-11-21,Marrakech,Client_0066,Mode,818.35,7
2024-12-14,Rabat,Client_0198,Mode,1272.99,16
2024-09-15,Marrakech,Client_0162,Alimentaire,390.68,1
2024-05-27,Casablanca,Client_0014,Mode,691.58,18
2024-09-08,Marrakech,Client_0194,Alimentaire,275.41,8
2024-12-11,Tanger,Client_0092,Mode,914.12,7
2024-05-26,Casablanca,Client_0029,Électronique,413.29,2
2024-05-27,Agadir,Client_0102,Électronique,534.07,12
2024-12-17,Tanger,Client_0081,Mode,733.31,16
2024-07-17,Rabat,Client_0074,Électronique,88.82,9
2024-11-03,Rabat,Client_0170,Alimentaire,183.31,11
2024-05-07,Rabat,Client_0059,Maison,1044.6,15
2024-02-08,Tanger,Client_0039,Électronique,672.01,3
2024-12-03,Tanger,Client_0192,Maison,1303.95,13
2024-12-25,Tanger,Client_0156,Électronique,1057.27,13
2024-05-08,Casablanca,Client_0073,Alimentaire,61.75,2
2024-09-23,Casablanca,Client_0120,Électronique,944.23,6
2024-05-30,Rabat,Client_0146,Électronique,185.9,6
2024-10-24,Marrakech,Client_0002,Mode,1182.35,12
2024-04-08,Rabat,Client_0035,Maison,1487.69,4
2024-09-19,Agadir,Client_0042,Maison,820.24,5
2024-09-08,Casablanca,Client_0142,Alimentaire,1040.03,8
2024-05-23,Tanger,Client_0168,Alimentaire,394.11,6
2024-12-11,Casablanca,Client_0114,Maison,684.52,3
2024-04-21,Tanger,Client_0108,Mode,1291.34,8
2024-02-29,Agadir,Client_0089,Mode,292.76,19
2024-01-02,Agadir,Client_0163,Maison,435.03,11
2024-10-30,Casablanca,Client_0083,Électronique,695.88,18
2024-09-10,Tanger,Client_0076,Maison,1082.76,10
2024-05-19,Agadir,Client_0160,Électronique,595.03,12
2024-02-06,Rabat,Client_0004,Maison,1395.21,8
2024-06-08,Rabat,Client_0077,Électronique,186.96,19
2024-01-09,Tanger,Client_0090,Mode,587.67,16
2024-08-20,Casablanca,Client_0086,Maison,1077.98,18
2024-04-08,Agadir,Client_0013,Alimentaire,377.68,9
2024-05-26,Casablanca,Client_0103,Électronique,1001.8,4
2024-10-30,Rabat,Client_0195,Mode,288.11,9
2024-07-26,Agadir,Client_0082,Alimentaire,131.17,2
2024-05-10,Casablanca,Client_0174,Mode,225.47,9
2024-05-31,Marrakech,Client_0053,Électronique,1398.48,9
2024-02-23,Tanger,Client_0131,Maison,850.04,18
2024-04-29,Tanger,Client_0094,Mode,1204.7,11
2024-06-09,Marrakech,Client_0008,Maison,532.35,13
2024-04-25,Rabat,Client_0052,Maison,909.36,6
2024-03-15,Agadir,Client_0076,Mode,767.68,9
2024-04-22,Tanger,Client_0059,Mode,1421.32,16
2024-04-13,Marrakech,Client_0045,Mode,1133.98,4
2024-12-05,Marrakech,Client_0053,Maison,1109.29,2
2024-09-10,Rabat,Client_0073,Alimentaire,117.21,7
2024-08-14,Rabat,Client_0111,Électronique,847.02,15
2024-04-21,Casablanca,Client_0094,Alimentaire,727.14,6
2024-04-08,Tanger,Client_0164,Maison,1395.37,11
2024-06-01,Casablanca,Client_0022,Mode,423.15,17
2024-12-14,Marrakech,Client_0026,Mode,441.26,4
2024-12-03,Agadir,Client_0069,Électronique,646.45,19
2024-07-12,Agadir,Client_0193,Électronique,402.89,7
2024-11-05,Rabat,Client_0108,Alimentaire,237.32,11
2024-06-11,Agadir,Client_0188,Alimentaire,1293.25,13
2024-07-26,Agadir,Client_0076,Électronique,859.5,3
2024-06-17,Agadir,Client_0178,Maison,1298.98,14
2024-06-09,Marrakech,Client_0049,Alimentaire,1255.15,2
2024-03-08,Agadir,Client_0123,Mode,458.96,18
2024-10-15,Agadir,Client_0018,Mode,844.22,5
2024-10-03,Agadir,Client_0000,Maison,170.67,13
2024-10-30,Casablanca,Client_0039,Électronique,1377.12,13
2024-05-14,Marrakech,Client_0159,Alimentaire,636.18,14
2024-07-13,Rabat,Client_0021,Mode,620.83,12
2024-05-07,Casablanca,Client_0111,Électronique,489.0,13
2024-02-02,Tanger,Client_0193,Alimentaire,717.96,18
2024-06-24,Marrakech,Client_0039,Maison,415.05,13
2024-01-22,Marrakech,Client_0037,Mode,593.54,4
2024-08-25,Tanger,Client_0047,Maison,1209.92,10
2024-06-06,Tanger,Client_0182,Maison,1259.67,5
2024-02-07,Tanger,Client_0074,Maison,491.06,18
2024-08-17,Rabat,Client_0182,Alimentaire,730.07,8
2024-12-30,Agadir,Client_0178,Maison,1317.04,14
2024-02-20,Marrakech,Client_0106,Alimentaire,126.38,2
2024-09-20,Agadir,Client_0187,Alimentaire,1339.26,8
2024-10-09,Agadir,Client_0007,Maison,367.82,16
2024-01-27,Tanger,Client_0085,Maison,1033.88,7
2024-08-13,Rabat,Client_0067,Électronique,894.7,3
2024-10-03,Casablanca,Client_0074,Mode,851.76,4
2024-10-12,Rabat,Client_0199,Électronique,1296.07,7
2024-04-06,Agadir,Client_0136,Mode,197.28,4
2024-10-10,Rabat,Client_0089,Mode,553.19,9
2024-11-12,Tanger,Client_0129,Électronique,830.47,17
2024-10-30,Casablanca,Client_0079,Électronique,1226.37,17
2024-05-26,Tanger,Client_0094,Mode,363.84,14
2024-01-04,Casablanca,Client_0069,Mode,1214.25,14
2024-02-04,Agadir,Client_0089,Mode,629.48,13
2024-07-10,Casablanca,Client_0058,Alimentaire,323.93,4
2024-02-18,Casablanca,Client_0146,Mode,1150.53,13
2024-01-17,Casablanca,Client_0027,Maison,181.8,17
2024-06-20,Rabat,Client_0071,Maison,796.41,15
2024-08-07,Rabat,Client_0013,Maison,142.62,18
2024-06-06,Agadir,Client_0023,Électronique,566.81,11
2024-02-15,Casablanca,Client_0111,Électronique,921.56,4
2024-01-06,Marrakech,Client_0043,Électronique,856.37,11
2024-04-08,Agadir,Client_0055,Mode,636.75,10
2024-08-20,Casablanca,Client_0119,Maison,672.12,13
2024-02-06,Casablanca,Client_0178,Mode,378.82,8
2024-10-06,Rabat,Client_0031,Alimentaire,711.03,13
2024-12-14,Agadir,Client_0177,Alimentaire,1432.22,9
2024-10-28,Casablanca,Client_0168,Électronique,1283.16,1
2024-06-29,Casablanca,Client_0193,Alimentaire,260.59,1
2024-04-04,Agadir,Client_0024,Maison,93.18,15
2024-04-08,Marrakech,Client_0115,Alimentaire,1403.61,4
2024-07-06,Agadir,Client_0188,Électronique,813.79,1
2024-04-25,Agadir,Client_0065,Mode,829.86,12
2024-07-09,Marrakech,Client_0041,Alimentaire,1182.04,11
2024-09-09,Agadir,Client_0192,Maison,506.3,19
2024-06-09,Casablanca,Client_0163,Maison,748.77,15
2024-09-12,Agadir,Client_0075,Maison,1454.56,10
2024-11-18,Marrakech,Client_0136,Mode,1024.62,1
2024-05-07,Tanger,Client_0163,Maison,272.93,3
2024-01-18,Agadir,Client_0037,Électronique,243.18,14
2024-10-07,Rabat,Client_0160,Électronique,346.18,15
2024-08-10,Casablanca,Client_0169,Maison,1161.73,1
2024-02-23,Casablanca,Client_0060,Alimentaire,478.3,10
2024-02-27,Rabat,Client_0173,Maison,81.01,1
2024-11-18,Rabat,Client_0088,Électronique,1419.05,15
2024-12-25,Agadir,Client_0188,Électronique,296.08,3
2024-06-22,Rabat,Client_0017,Électronique,63.86,12
2024-10-06,Tanger,Client_0069,Alimentaire,393.84,19
2024-04-23,Marrakech,Client_0081,Alimentaire,390.79,16
2024-10-14,Rabat,Client_0115,Alimentaire,661.91,8
2024-12-07,Rabat,Client_0079,Électronique,1384.57,14
2024-05-30,Tanger,Client_0014,Mode,1324.82,18
2024-05-06,Casablanca,Client_0175,Maison,712.5,1
2024-06-03,Casablanca,Client_0199,Maison,645.8,2
2024-09-29,Agadir,Client_0012,Électronique,854.76,12
2024-04-13,Tanger,Client_0118,Alimentaire,403.01,17
2024-10-25,Marrakech,Client_0042,Mode,125.67,2
2024-09-02,Marrakech,Client_0187,Mode,1411.87,17
2024-06-24,Tanger,Client_0056,Alimentaire,320.71,7
2024-02-08,Marrakech,Client_0198,Maison,337.68,6
2024-06-18,Casablanca,Client_0016,Maison,735.07,6
2024-09-03,Marrakech,Client_0177,Mode,762.84,8
2024-01-26,Marrakech,Client_0031,Mode,76.73,5
2024-12-20,Tanger,Client_0149,Alimentaire,264.53,15
2024-11-01,Tanger,Client_0054,Maison,598.32,7
2024-01-13,Marrakech,Client_0184,Mode,1041.41,3
2024-11-11,Rabat,Client_0012,Maison,381.21,10
2024-11-08,Tanger,Client_0046,Mode,663.37,3
2024-02-05,Agadir,Client_0086,Alimentaire,858.15,14
2024-06-21,Agadir,Client_0061,Maison,1338.46,3
2024-01-20,Casablanca,Client_0181,Mode,522.8,1
2024-11-16,Marrakech,Client_0028,Mode,243.66,1
2024-09-20,Rabat,Client_0021,Mode,759.44,19
2024-05-21,Casablanca,Client_0064,Mode,1132.75,4
2024-05-22,Marrakech,Client_0028,Alimentaire,209.3,2
2024-04-01,Tanger,Client_0047,Maison,665.79,11
2024-12-19,Agadir,Client_0004,Maison,75.79,12
2024-11-17,Rabat,Client_0162,Électronique,98.66,13
2024-10-14,Agadir,Client_0100,Maison,750.28,16
2024-08-02,Tanger,Client_0070,Électronique,482.39,16
2024-12-07,Marrakech,Client_0173,Mode,1275.41,19
2024-02-20,Tanger,Client_0162,Alimentaire,923.12,9
2024-06-01,Tanger,Client_0172,Alimentaire,708.2,16
2024-07-04,Agadir,Client_0140,Mode,641.51,7
2024-03-03,Rabat,Client_0137,Électronique,771.01,13
2024-07-08,Tanger,Client_0065,Mode,108.64,4
2024-05-04,Agadir,Client_0197,Alimentaire,1344.55,13
2024-05-29,Rabat,Client_0071,Alimentaire,1497.54,8
2024-11-09,Marrakech,Client_0024,Maison,313.16,2
2024-02-27,Marrakech,Client_0171,Électronique,224.56,7
2024-12-07,Casablanca,Client_0059,Maison,258.19,11
2024-10-31,Agadir,Client_0174,Alimentaire,1008.49,17
2024-06-28,Rabat,Client_0039,Alimentaire,1009.09,14
2024-06-18,Tanger,Client_0006,Maison,1279.49,13
2024-11-21,Marrakech,Client_0173,Maison,1140.15,15
2024-09-27,Rabat,Client_0150,Alimentaire,702.05,9
2024-02-23,Agadir,Client_0045,Maison,938.64,3
2024-04-10,Casablanca,Client_0085,Maison,1048.01,13
2024-09-20,Marrakech,Client_0140,Électronique,793.47,13
2024-02-22,Rabat,Client_0020,Alimentaire,739.69,9
2024-02-29,Rabat,Client_0000,Mode,985.39,18
2024-04-17,Rabat,Client_0122,Électronique,858.34,5
2024-01-05,Agadir,Client_0146,Mode,983.72,11
2024-04-12,Agadir,Client_0124,Maison,938.64,2
2024-07-14,Agadir,Client_0187,Maison,1092.84,17
2024-09-18,Tanger,Client_0032,Mode,982.07,4
2024-12-30,Rabat,Client_0003,Maison,803.63,18
2024-12-15,Marrakech,Client_0002,Maison,1038.61,8
2024-02-16,Agadir,Client_0090,Électronique,701.75,19
2024-12-20,Agadir,Client_0051,Mode,400.42,12
2024-11-06,Rabat,Client_0027,Électronique,52.06,11
2024-11-03,Agadir,Client_0069,Mode,861.95,16
2024-05-23,Tanger,Client_0197,Électronique,906.45,5
2024-09-25,Tanger,Client_0182,Alimentaire,1459.47,3
2024-05-03,Agadir,Client_0056,Alimentaire,574.14,12
2024-04-15,Rabat,Client_0107,Mode,621.49,15
2024-06-06,Rabat,Client_0143,Alimentaire,342.61,16
2024-05-26,Rabat,Client_0023,Électronique,152.27,13
2024-05-24,Casablanca,Client_0196,Mode,1170.57,7
2024-04-29,Agadir,Client_0168,Alimentaire,412.04,15
2024-11-14,Rabat,Client_0076,Alimentaire,932.91,3
2024-10-01,Tanger,Client_0174,Mode,1047.27,12
2024-04-01,Marrakech,Client_0075,Alimentaire,733.29,8
2024-02-27,Marrakech,Client_0068,Alimentaire,1320.71,12
2024-12-11,Rabat,Client_0100,Mode,693.5,18
2024-08-16,Marrakech,Client_0158,Alimentaire,463.12,3
2024-04-26,Marrakech,Client_0091,Alimentaire,1349.22,12
2024-11-13,Casablanca,Client_0091,Alimentaire,1299.27,2
2024-10-05,Tanger,Client_0029,Alimentaire,287.86,14
2024-05-06,Tanger,Client_0017,Maison,87.64,14
2024-05-08,Casablanca,Client_0043,Mode,180.48,4
2024-02-27,Casablanca,Client_0154,Maison,465.49,17
2024-05-01,Marrakech,Client_0098,Maison,1459.78,15
2024-01-01,Agadir,Client_0153,Électronique,859.85,16
2024-08-26,Marrakech,Client_0120,Maison,591.23,5
2024-10-16,Casablanca,Client_0114,Maison,1338.64,17
2024-04-05,Tanger,Client_0059,Électronique,707.05,7
2024-05-05,Marrakech,Client_0145,Alimentaire,507.1,15
2024-04-27,Agadir,Client_0055,Alimentaire,1414.77,17
2024-02-17,Marrakech,Client_0030,Maison,1281.8,12
2024-03-29,Rabat,Client_0100,Électronique,1273.32,11
2024-08-24,Marrakech,Client_0058,Alimentaire,792.81,19
2024-09-28,Casablanca,Client_0123,Électronique,1194.69,11
2024-07-07,Tanger,Client_0129,Mode,310.06,2
2024-07-10,Tanger,Client_0096,Mode,881.17,15
2024-03-09,Casablanca,Client_0166,Mode,1476.58,5
2024-10-04,Rabat,Client_0188,Mode,471.89,18
2024-12-14,Casablanca,Client_0106,Maison,1201.81,16
2024-09-03,Marrakech,Client_0190,Mode,761.19,4
2024-03-16,Casablanca,Client_0017,Mode,107.72,10
2024-06-02,Casablanca,Client_0144,Électronique,1156.38,2
2024-05-23,Rabat,Client_0166,Alimentaire,294.43,15
2024-03-26,Marrakech,Client_0070,Électronique,965.64,4
2024-07-03,Agadir,Client_0105,Maison,174.21,16
2024-10-11,Agadir,Client_0053,Mode,1422.96,7
2024-08-07,Tanger,Client_0093,Alimentaire,473.0,12
2024-03-09,Casablanca,Client_0075,Alimentaire,378.37,3
